timestamp,cycle_id,commodity,contract,phase,agent,prompt_source,model_provider,model_name,assigned_provider,assigned_model,persona_hash,dspy_version,demo_count,tms_context_count,grounded_freshness_hours,reflexion_applied,prompt_tokens,completion_tokens,latency_ms
2026-03-16 14:10:22+00:00,NG-8a7ae57a,NG,NGN26 (202606),compliance,compliance,legacy,anthropic,claude-sonnet-4-6,anthropic,claude-sonnet-4-6,067e4f454c9a,,0,0,0.0,False,6637,265,7026.213884353638
2026-03-16 14:08:54+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,agronomist,commodity_profile,gemini,gemini-3.1-pro-preview,gemini,gemini-3.1-pro-preview,6a062652d6d1,,0,0,14,False,1695,377,17419.367790222168
2026-03-16 14:08:54+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,macro,commodity_profile,openai,gpt-5.2,openai,gpt-5.2,10e3575bf6be,,0,0,14,False,1369,606,10745.941877365112
2026-03-16 14:09:11+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,geopolitical,commodity_profile,gemini,gemini-3.1-pro-preview,gemini,gemini-3.1-pro-preview,5597c7fc858d,,0,0,14,False,1494,311,22448.439836502075
2026-03-16 14:09:13+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,macro,legacy,openai,gpt-5.2,openai,gpt-5.2,,,0,0,0.0,True,738,1115,18171.602964401245
2026-03-16 14:09:19+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,inventory,commodity_profile,anthropic,claude-sonnet-4-6,anthropic,claude-sonnet-4-6,4d667b93ed4a,,0,0,86,False,1818,782,15027.89306640625
2026-03-16 14:09:28+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,sentiment,commodity_profile,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,5516ee156388,,0,0,14,False,1450,295,15444.042205810547
2026-03-16 14:09:29+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,supply_chain,commodity_profile,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,f90168aca94f,,0,0,14,False,1569,349,16545.52125930786
2026-03-16 14:09:31+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,geopolitical,legacy,gemini,gemini-3.1-pro-preview,gemini,gemini-3.1-pro-preview,,,0,0,0.0,True,455,328,19534.217834472656
2026-03-16 14:09:35+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,agronomist,legacy,gemini,gemini-3.1-pro-preview,gemini,gemini-3.1-pro-preview,,,0,0,0.0,True,520,468,40565.0839805603
2026-03-16 14:09:38+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,inventory,legacy,anthropic,claude-sonnet-4-6,anthropic,claude-sonnet-4-6,,,0,0,0.0,True,969,957,17868.122577667236
2026-03-16 14:09:42+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,sentiment,legacy,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,,,0,0,0.0,True,596,284,12933.73727798462
2026-03-16 14:09:44+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,supply_chain,legacy,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,,,0,0,0.0,True,652,375,14574.511289596558
2026-03-16 14:09:52+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,technical,commodity_profile,openai,o3-2025-04-16,openai,o3-2025-04-16,87284643c9fb,,0,0,14,False,1313,891,14022.603034973145
2026-03-16 14:09:53+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,volatility,commodity_profile,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,6e7337ee5515,,0,0,14,False,1539,314,19065.804719924927
2026-03-16 14:10:03+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,volatility,legacy,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,,,0,0,0.0,True,619,267,9020.628452301025
2026-03-16 14:10:08+00:00,NG-1f6549c0,NG,NGQ26 (202607),research,technical,legacy,openai,o3-2025-04-16,openai,o3-2025-04-16,,,0,0,0.0,True,617,1315,15590.213537216187
2026-03-16 14:10:48+00:00,NG-1f6549c0,NG,NGQ26 (202607),debate,permabear,legacy,anthropic,claude-sonnet-4-6,anthropic,claude-sonnet-4-6,2fd2d9277014,,0,0,0.0,False,5603,1672,39978.77097129822
2026-03-16 14:11:10+00:00,NG-1f6549c0,NG,NGQ26 (202607),debate,permabull,legacy,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,907c5282bd94,,0,0,0.0,False,6352,1185,21949.75233078003
2026-03-16 14:11:32+00:00,NG-1f6549c0,NG,NGQ26 (202607),decision,master,legacy,openai,gpt-5.2,openai,gpt-5.2,067e4f454c9a,,0,0,0.0,False,8268,670,22058.481454849243
2026-03-16 14:11:41+00:00,NG-1f6549c0,NG,NGQ26 (202607),compliance,compliance,legacy,anthropic,claude-sonnet-4-6,anthropic,claude-sonnet-4-6,067e4f454c9a,,0,0,0.0,False,6263,318,8489.965200424194
2026-03-16 14:09:39+00:00,NG-a9afc23a,NG,NGU26 (202608),research,volatility,commodity_profile,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,6e7337ee5515,,0,3,14,False,2817,313,10827.680110931396
2026-03-16 14:09:40+00:00,NG-a9afc23a,NG,NGU26 (202608),research,macro,commodity_profile,openai,gpt-5.2,openai,gpt-5.2,10e3575bf6be,,0,3,14,False,3327,599,17397.84073829651
