timestamp,cycle_id,contract,stage,outcome,detail,price_snapshot,bid,ask,initial_limit,fill_price,walk_away_price,regime,source
2026-03-16 14:12:29+00:00,NG-a9afc23a,202608,CAPITAL_CHECK,BLOCK,"committed=32,830.00, account=32,331.59, this_order=9,450.00",3.55,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:12:32+00:00,NG-ef9a605b,NG-C3.2+P3.2,LIQUIDITY_GATE,PASS,Liquidity check skipped for BAG (Combo) - relying on Smart Routing,,,,,,,UNKNOWN,REALTIME
2026-03-16 14:12:40+00:00,NG-1f6549c0,NG-C3.55+P3.55,LIQUIDITY_GATE,PASS,Liquidity check skipped for BAG (Combo) - relying on Smart Routing,,,,,,,UNKNOWN,REALTIME
2026-03-16 16:27:33+00:00,NG-18980d32,NGM26 (202605),COUNCIL_DECISION,INFO,"direction=NEUTRAL, confidence=0.80, conviction_mult=1.0, vote=NEUTRAL, thesis=PLAUSIBLE, weighted_score=-0.0287",3.15,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 16:27:33+00:00,NG-18980d32,NGM26 (202605),STRATEGY_SELECTION,INFO,"prediction_type=DIRECTIONAL, strategy=NONE, vol_level=None",3.15,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 16:28:19+00:00,NG-2c13fd96,NGN26 (202606),COUNCIL_DECISION,PASS,"direction=BEARISH, confidence=0.80, conviction_mult=1.0, vote=BEARISH, thesis=PLAUSIBLE, weighted_score=-0.1787",3.42,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 16:28:26+00:00,NG-2c13fd96,NGN26 (202606),COMPLIANCE_AUDIT,PASS,Approved,3.42,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 16:28:26+00:00,NG-2c13fd96,NGN26 (202606),CONVICTION_GATE,BLOCK,"weighted_score=0.1787, threshold=0.2, direction=BEARISH",3.42,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 16:28:26+00:00,NG-2c13fd96,NGN26 (202606),STRATEGY_SELECTION,PASS,"prediction_type=VOLATILITY, strategy=LONG_STRADDLE, vol_level=HIGH",3.42,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 16:29:21+00:00,NG-c15397c6,NGQ26 (202607),COUNCIL_DECISION,PASS,"direction=BEARISH, confidence=0.80, conviction_mult=1.0, vote=BEARISH, thesis=PLAUSIBLE, weighted_score=-0.3091",3.5,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 16:29:30+00:00,NG-c15397c6,NGQ26 (202607),COMPLIANCE_AUDIT,PASS,Approved,3.5,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 16:29:30+00:00,NG-c15397c6,NGQ26 (202607),CONVICTION_GATE,PASS,"weighted_score=0.3091, threshold=0.2, direction=BEARISH",3.5,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 16:29:30+00:00,NG-c15397c6,NGQ26 (202607),STRATEGY_SELECTION,PASS,"prediction_type=DIRECTIONAL, strategy=BEAR_PUT_SPREAD, vol_level=None",3.5,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 16:29:39+00:00,NG-6cf6d6e3,NGU26 (202608),COUNCIL_DECISION,PASS,"direction=BEARISH, confidence=0.80, conviction_mult=1.0, vote=BEARISH, thesis=PLAUSIBLE, weighted_score=-0.3058",3.48,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 16:29:47+00:00,NG-6cf6d6e3,NGU26 (202608),COMPLIANCE_AUDIT,PASS,Approved,3.48,,,,,,HIGH_VOLATILITY,REALTIME
