timestamp,cycle_key,agent,regime,domain_weight,reliability_mult,final_weight
2026-02-10T17:15:06.216473+00:00,manual_2026-02-10T17:15:06,volatility,RANGE_BOUND,1.05,1.0,0.71
2026-02-10T17:15:35.001711+00:00,manual_2026-02-10T17:15:35,agronomist,HIGH_VOLATILITY,2.25,1.0,2.25
2026-02-10T17:15:35.001711+00:00,manual_2026-02-10T17:15:35,macro,HIGH_VOLATILITY,1.5,1.0,1.01
2026-02-10T17:15:35.001711+00:00,manual_2026-02-10T17:15:35,geopolitical,HIGH_VOLATILITY,1.5,1.0,1.01
2026-02-10T17:15:35.001711+00:00,manual_2026-02-10T17:15:35,supply_chain,HIGH_VOLATILITY,1.5,1.0,0.38
2026-02-10T17:15:35.001711+00:00,manual_2026-02-10T17:15:35,inventory,HIGH_VOLATILITY,1.5,1.0,1.5
2026-02-10T17:15:35.001711+00:00,manual_2026-02-10T17:15:35,sentiment,HIGH_VOLATILITY,1.5,1.0,1.01
2026-02-10T17:15:35.001711+00:00,manual_2026-02-10T17:15:35,technical,HIGH_VOLATILITY,1.05,1.0,1.05
2026-02-10T17:15:35.001711+00:00,manual_2026-02-10T17:15:35,volatility,HIGH_VOLATILITY,2.25,1.0,1.52
2026-02-11T14:03:48.826601+00:00,scheduled_2026-02-11T14:03:48,agronomist,HIGH_VOLATILITY,2.25,1.0,2.25
2026-02-11T14:03:48.826601+00:00,scheduled_2026-02-11T14:03:48,macro,HIGH_VOLATILITY,1.5,1.0,1.5
2026-02-11T14:03:48.826601+00:00,scheduled_2026-02-11T14:03:48,geopolitical,HIGH_VOLATILITY,1.5,1.0,1.5
2026-02-11T14:03:48.826601+00:00,scheduled_2026-02-11T14:03:48,supply_chain,HIGH_VOLATILITY,1.5,1.0,1.5
2026-02-11T14:03:48.826601+00:00,scheduled_2026-02-11T14:03:48,inventory,HIGH_VOLATILITY,1.5,1.0,1.5
2026-02-11T14:03:48.826601+00:00,scheduled_2026-02-11T14:03:48,sentiment,HIGH_VOLATILITY,1.5,1.0,1.5
2026-02-11T14:03:48.826601+00:00,scheduled_2026-02-11T14:03:48,technical,HIGH_VOLATILITY,1.05,1.0,1.05
2026-02-11T14:03:48.826601+00:00,scheduled_2026-02-11T14:03:48,volatility,HIGH_VOLATILITY,2.25,1.0,2.25
2026-02-11T14:05:44.592755+00:00,scheduled_2026-02-11T14:05:44,agronomist,HIGH_VOLATILITY,2.25,1.0,2.25
2026-02-11T14:05:44.592755+00:00,scheduled_2026-02-11T14:05:44,macro,HIGH_VOLATILITY,1.5,1.0,1.5
2026-02-11T14:05:44.592755+00:00,scheduled_2026-02-11T14:05:44,geopolitical,HIGH_VOLATILITY,1.5,1.0,1.5
